id,provider,seed,cycle,intent,x,y,z,gripper,accepted,held,in_plate,sim_seconds
deepseek_seed0,deepseek,0,0,approach,positive,negative,hold,open,True,False,False,0.32
deepseek_seed0,deepseek,0,1,approach,positive,negative,hold,open,True,False,False,0.64
deepseek_seed0,deepseek,0,2,approach,positive,negative,hold,open,True,False,False,0.96
deepseek_seed0,deepseek,0,3,approach,positive,negative,hold,open,True,False,False,1.28
deepseek_seed0,deepseek,0,4,approach,positive,negative,hold,open,True,False,False,1.6
deepseek_seed0,deepseek,0,5,approach,positive,negative,hold,open,True,False,False,1.92
deepseek_seed0,deepseek,0,6,approach,positive,hold,hold,open,True,False,False,2.24
deepseek_seed0,deepseek,0,7,approach,positive,hold,hold,open,True,False,False,2.56
deepseek_seed0,deepseek,0,8,approach,positive,hold,hold,open,True,False,False,2.88
deepseek_seed0,deepseek,0,9,approach,positive,hold,hold,open,True,False,False,3.2
deepseek_seed0,deepseek,0,10,approach,positive,hold,hold,open,True,False,False,3.52
deepseek_seed0,deepseek,0,11,approach,positive,positive,hold,open,True,False,False,3.84
deepseek_seed0,deepseek,0,12,approach,positive,hold,hold,open,True,False,False,4.16
deepseek_seed0,deepseek,0,13,approach,positive,hold,hold,open,True,False,False,4.48
deepseek_seed0,deepseek,0,14,approach,positive,hold,hold,open,True,False,False,4.8
deepseek_seed0,deepseek,0,15,approach,hold,hold,hold,open,True,False,False,5.12
deepseek_seed0,deepseek,0,16,approach,hold,hold,hold,open,True,False,False,5.44
deepseek_seed0,deepseek,0,17,approach,hold,hold,hold,open,True,False,False,5.76
deepseek_seed0,deepseek,0,18,approach,hold,hold,hold,open,True,False,False,6.08
deepseek_seed0,deepseek,0,19,approach,hold,hold,hold,open,True,False,False,6.4
deepseek_seed0,deepseek,0,20,approach,hold,hold,hold,open,True,False,False,6.72
deepseek_seed0,deepseek,0,21,approach,hold,hold,hold,open,True,False,False,7.04
deepseek_seed0,deepseek,0,22,approach,hold,hold,hold,open,True,False,False,7.36
deepseek_seed0,deepseek,0,23,approach,hold,hold,hold,open,True,False,False,7.68
deepseek_seed0,deepseek,0,24,approach,hold,hold,hold,open,True,False,False,8.0
deepseek_seed0,deepseek,0,25,approach,hold,hold,hold,open,True,False,False,8.32
deepseek_seed0,deepseek,0,26,approach,hold,hold,hold,open,True,False,False,8.64
