tag,provider,probe,stage,seconds,headers_seconds,body_seconds,body_after_headers_seconds,request_bytes,response_bytes,input_tokens,output_tokens,cache_hit_tokens,http_status,error,response_model,cost_low_usd,cost_high_usd
deepseek_seed0_000_intent,deepseek,False,intent,1.0432521819602698,0.506924303015694,1.0431666991207749,0.5362423961050808,4269,484,1082,7,0,200,,deepseek-flash,0.00016649999999999998,0.00033299999999999996
deepseek_seed0_000_motor,deepseek,False,motor,0.6805086461827159,0.3162005110643804,0.6804148231167346,0.3642143120523542,9603,545,2456,26,256,200,,deepseek-flash,0.000346368,0.000692736
deepseek_seed0_001_intent,deepseek,False,intent,0.9527459437958896,0.31304752081632614,0.9526737728156149,0.6396262519992888,4288,484,1086,7,0,200,,deepseek-flash,0.0001671,0.0003342
deepseek_seed0_001_motor,deepseek,False,motor,0.9452704119030386,0.4691440570168197,0.9452082510106266,0.47606419399380684,9622,545,2460,26,256,200,,deepseek-flash,0.00034696799999999996,0.0006939359999999999
deepseek_seed0_002_intent,deepseek,False,intent,0.6118801340926439,0.3046308041084558,0.6117840160150081,0.3071532119065523,4287,484,1086,7,0,200,,deepseek-flash,0.0001671,0.0003342
deepseek_seed0_002_motor,deepseek,False,motor,1.190167719963938,0.4941368110012263,1.1900766789913177,0.6959398679900914,9620,545,2460,26,256,200,,deepseek-flash,0.00034696799999999996,0.0006939359999999999
deepseek_seed0_003_intent,deepseek,False,intent,1.3865337308961898,0.35691289883106947,1.3864719558041543,1.0295590569730848,4285,484,1086,7,0,200,,deepseek-flash,0.0001671,0.0003342
deepseek_seed0_003_motor,deepseek,False,motor,1.066721006995067,0.47949824994429946,1.066654914058745,0.5871566641144454,9617,545,2460,26,256,200,,deepseek-flash,0.00034696799999999996,0.0006939359999999999
deepseek_seed0_004_intent,deepseek,False,intent,0.9712482311297208,0.3083255970850587,0.9712011751253158,0.6628755780402571,4285,484,1086,7,0,200,,deepseek-flash,0.0001671,0.0003342
deepseek_seed0_004_motor,deepseek,False,motor,0.9889923660084605,0.4660334410145879,0.9889008149039,0.5228673738893121,9617,545,2460,26,256,200,,deepseek-flash,0.00034696799999999996,0.0006939359999999999
deepseek_seed0_005_intent,deepseek,False,intent,0.9512006491422653,0.48324274411424994,0.9511211740318686,0.46787842991761863,4284,484,1086,7,0,200,,deepseek-flash,0.0001671,0.0003342
deepseek_seed0_005_motor,deepseek,False,motor,0.96492566796951,0.31735124601982534,0.9648726128507406,0.6475213668309152,9616,545,2460,26,256,200,,deepseek-flash,0.00034696799999999996,0.0006939359999999999
deepseek_seed0_006_intent,deepseek,False,intent,0.8915781488176435,0.30153460893779993,0.891523172846064,0.589988563908264,4285,484,1086,7,0,200,,deepseek-flash,0.0001671,0.0003342
deepseek_seed0_006_motor,deepseek,False,motor,1.0204113859217614,0.3124355070758611,1.0203273720107973,0.7078918649349362,9617,541,2460,26,256,200,,deepseek-flash,0.00034696799999999996,0.0006939359999999999
deepseek_seed0_007_intent,deepseek,False,intent,0.7364278458990157,0.3077083679381758,0.7363817628938705,0.4286733949556947,4281,484,1086,7,0,200,,deepseek-flash,0.0001671,0.0003342
deepseek_seed0_007_motor,deepseek,False,motor,0.8264371010009199,0.32110297004692256,0.8263780591078103,0.5052750890608877,9611,541,2460,26,256,200,,deepseek-flash,0.00034696799999999996,0.0006939359999999999
deepseek_seed0_008_intent,deepseek,False,intent,0.9845517959911376,0.29878310416825116,0.984493913128972,0.6857108089607209,4281,484,1086,7,0,200,,deepseek-flash,0.0001671,0.0003342
deepseek_seed0_008_motor,deepseek,False,motor,1.0222235729452223,0.5775529509410262,1.0221580869983882,0.44460513605736196,9611,541,2460,26,256,200,,deepseek-flash,0.00034696799999999996,0.0006939359999999999
deepseek_seed0_009_intent,deepseek,False,intent,0.8708163609262556,0.4669788288883865,0.8707297497894615,0.403750920901075,4281,484,1086,7,0,200,,deepseek-flash,0.0001671,0.0003342
deepseek_seed0_009_motor,deepseek,False,motor,0.8278198081534356,0.32636553002521396,0.827756668208167,0.501391138182953,9611,541,2460,26,256,200,,deepseek-flash,0.00034696799999999996,0.0006939359999999999
deepseek_seed0_010_intent,deepseek,False,intent,0.9306930990424007,0.4509633800480515,0.9306321069598198,0.4796687269117683,4280,484,1086,7,0,200,,deepseek-flash,0.0001671,0.0003342
deepseek_seed0_010_motor,deepseek,False,motor,1.2398087130859494,0.49188561202026904,1.2397105521522462,0.7478249401319772,9610,541,2460,26,256,200,,deepseek-flash,0.00034696799999999996,0.0006939359999999999
deepseek_seed0_011_intent,deepseek,False,intent,0.5550168661866337,0.30703416909091175,0.5549337801057845,0.2478996110148728,4281,484,1086,7,0,200,,deepseek-flash,0.0001671,0.0003342
deepseek_seed0_011_motor,deepseek,False,motor,1.1356963298749179,0.47068483592011034,1.1356346309185028,0.6649497949983925,9611,545,2460,26,256,200,,deepseek-flash,0.00034696799999999996,0.0006939359999999999
deepseek_seed0_012_intent,deepseek,False,intent,0.8936117130797356,0.29040478612296283,0.893536661984399,0.6031318758614361,4281,484,1086,7,0,200,,deepseek-flash,0.0001671,0.0003342
deepseek_seed0_012_motor,deepseek,False,motor,0.8277930119074881,0.47886326094157994,0.8277198260184377,0.3488565650768578,9611,541,2460,26,256,200,,deepseek-flash,0.00034696799999999996,0.0006939359999999999
deepseek_seed0_013_intent,deepseek,False,intent,0.7059152778238058,0.2876934418454766,0.705857966793701,0.4181645249482244,4281,484,1086,7,0,200,,deepseek-flash,0.0001671,0.0003342
deepseek_seed0_013_motor,deepseek,False,motor,1.0403529771137983,0.33297812193632126,1.0402882099151611,0.7073100879788399,9611,541,2460,26,256,200,,deepseek-flash,0.00034696799999999996,0.0006939359999999999
deepseek_seed0_014_intent,deepseek,False,intent,0.9073717789724469,0.28142258804291487,0.9073184770531952,0.6258958890102804,4281,484,1086,7,0,200,,deepseek-flash,0.0001671,0.0003342
deepseek_seed0_014_motor,deepseek,False,motor,0.7416976229287684,0.2997305889148265,0.7416220069862902,0.4418914180714637,9611,541,2460,26,256,200,,deepseek-flash,0.00034696799999999996,0.0006939359999999999
deepseek_seed0_015_intent,deepseek,False,intent,0.7729824560228735,0.29112778697162867,0.7729142510797828,0.4817864641081542,4282,484,1086,7,0,200,,deepseek-flash,0.0001671,0.0003342
deepseek_seed0_015_motor,deepseek,False,motor,0.9047953211702406,0.31262565217912197,0.9046758071053773,0.5920501549262553,9613,537,2460,26,256,200,,deepseek-flash,0.00034696799999999996,0.0006939359999999999
deepseek_seed0_016_intent,deepseek,False,intent,0.978955483995378,0.2978034419938922,0.9788528541103005,0.6810494121164083,4283,484,1086,7,0,200,,deepseek-flash,0.0001671,0.0003342
deepseek_seed0_016_motor,deepseek,False,motor,1.0878609840292484,0.33079033507965505,1.087740747956559,0.756950412876904,9614,537,2460,26,256,200,,deepseek-flash,0.00034696799999999996,0.0006939359999999999
deepseek_seed0_017_intent,deepseek,False,intent,1.1376249741297215,0.3065572250634432,1.137567195110023,0.8310099700465798,4283,487,1086,7,256,200,,deepseek-flash,0.000129468,0.000258936
deepseek_seed0_017_motor,deepseek,False,motor,1.1752808240707964,0.3232829871121794,1.1752190659753978,0.8519360788632184,9614,530,2460,19,256,200,,deepseek-flash,0.0003427679999999999,0.0006855359999999998
